Defense_System	ARG	OddsRatio	Pvalue	Tool	Padj	Significant	LogOddsRatio
RM	aph(3'')-Ib	0.3651483474235783	0.5054945054945055	DefenseFinder	1	FALSE	-1.453445393601902
RM	aph(3')-Ia	0	0.06593406593406585	DefenseFinder	0.8928571428571433	FALSE	-10
RM	aph(6)-Id	0.3651483474235783	0.5054945054945055	DefenseFinder	1	FALSE	-1.453445393601902
RM	blaADC-25	0.3651483474235783	0.5054945054945055	DefenseFinder	1	FALSE	-1.453445393601902
RM	sul2	0.3651483474235783	0.5054945054945055	DefenseFinder	1	FALSE	-1.453445393601902
RM	ARR-2	0	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	-10
RM	CmlA7	0	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	-10
RM	aac(6')-Ib3	0	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	-10
RM	aadA1	0	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	-10
RM	aadA2b	Inf	1	DefenseFinder	1	FALSE	10
Septu	aph(3'')-Ib	1.8974253916014638	1	DefenseFinder	1	FALSE	0.924043158746016
Septu	aph(3')-Ia	1.8974253916014638	1	DefenseFinder	1	FALSE	0.924043158746016
Septu	aph(6)-Id	1.8974253916014638	1	DefenseFinder	1	FALSE	0.924043158746016
Septu	blaADC-25	0	0.5	DefenseFinder	1	FALSE	-10
Septu	sul2	1.8974253916014638	1	DefenseFinder	1	FALSE	0.924043158746016
Septu	ARR-2	0	0.5	DefenseFinder	1	FALSE	-10
Septu	CmlA7	0	0.5	DefenseFinder	1	FALSE	-10
Septu	aac(6')-Ib3	0	0.5	DefenseFinder	1	FALSE	-10
Septu	aadA1	0	0.5	DefenseFinder	1	FALSE	-10
Septu	aadA2b	0	0.5	DefenseFinder	1	FALSE	-10
RosmerTA	aph(3'')-Ib	Inf	0.06593406593406591	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	aph(3')-Ia	2.738612969374825	0.5054945054945055	DefenseFinder	1	FALSE	1.4534453936018963
RosmerTA	aph(6)-Id	Inf	0.06593406593406591	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	blaADC-25	Inf	0.06593406593406591	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	sul2	Inf	0.06593406593406591	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	ARR-2	Inf	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	CmlA7	Inf	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	aac(6')-Ib3	Inf	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	10
RosmerTA	aadA1	Inf	0.12500000000000006	DefenseFinder	0.8928571428571433	FALSE	10
