Defense_System	ARG	OddsRatio	Pvalue	Tool	Padj	Significant	LogOddsRatio
SoFic	aph(3'')-Ib	0.5976404163643932	1	PADLOC	1	FALSE	-0.7426503789609565
SoFic	aph(3')-Ia	0.5976404163643932	1	PADLOC	1	FALSE	-0.7426503789609565
SoFic	aph(6)-Id	0.5976404163643932	1	PADLOC	1	FALSE	-0.7426503789609565
SoFic	blaADC-25	0.5976404163643932	1	PADLOC	1	FALSE	-0.7426503789609565
SoFic	sul2	0.5976404163643932	1	PADLOC	1	FALSE	-0.7426503789609565
SoFic	ARR-2	0	0.1648351648351648	PADLOC	0.78125	FALSE	-10
SoFic	CmlA7	0	0.1648351648351648	PADLOC	0.78125	FALSE	-10
SoFic	aac(6')-Ib3	0	0.1648351648351648	PADLOC	0.78125	FALSE	-10
SoFic	aadA1	0	0.1648351648351648	PADLOC	0.78125	FALSE	-10
SoFic	aadA2b	0	0.1648351648351648	PADLOC	0.78125	FALSE	-10
DMS_other	aph(3'')-Ib	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
DMS_other	aph(3')-Ia	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
DMS_other	aph(6)-Id	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
DMS_other	blaADC-25	Inf	0.16483516483516475	PADLOC	0.78125	FALSE	10
DMS_other	sul2	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
DMS_other	ARR-2	Inf	0.4666666666666666	PADLOC	0.78125	FALSE	10
DMS_other	CmlA7	Inf	0.4666666666666666	PADLOC	0.78125	FALSE	10
DMS_other	aac(6')-Ib3	Inf	0.4666666666666666	PADLOC	0.78125	FALSE	10
DMS_other	aadA1	Inf	0.4666666666666666	PADLOC	0.78125	FALSE	10
DMS_other	aadA2b	Inf	0.4666666666666666	PADLOC	0.78125	FALSE	10
PD-T4-6	aph(3'')-Ib	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	aph(3')-Ia	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
PD-T4-6	aph(6)-Id	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	blaADC-25	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	sul2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	ARR-2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	CmlA7	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	aac(6')-Ib3	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	aadA1	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PD-T4-6	aadA2b	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	aph(3'')-Ib	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	aph(3')-Ia	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
PDC-S08	aph(6)-Id	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	blaADC-25	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	sul2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	ARR-2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	CmlA7	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	aac(6')-Ib3	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	aadA1	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S08	aadA2b	Inf	0.4666666666666666	PADLOC	0.78125	FALSE	10
PDC-S21	aph(3'')-Ib	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	aph(3')-Ia	1.1832127880279952	1	PADLOC	1	FALSE	0.2427095501162787
PDC-S21	aph(6)-Id	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	blaADC-25	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	sul2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	ARR-2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	CmlA7	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	aac(6')-Ib3	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	aadA1	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S21	aadA2b	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S02	aph(3'')-Ib	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S02	aph(3')-Ia	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S02	aph(6)-Id	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S02	blaADC-25	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S02	sul2	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
PDC-S02	ARR-2	0	0.5	PADLOC	0.78125	FALSE	-10
PDC-S02	CmlA7	0	0.5	PADLOC	0.78125	FALSE	-10
PDC-S02	aac(6')-Ib3	0	0.5	PADLOC	0.78125	FALSE	-10
PDC-S02	aadA1	0	0.5	PADLOC	0.78125	FALSE	-10
PDC-S02	aadA2b	0	0.5	PADLOC	0.78125	FALSE	-10
septu_type_I	aph(3'')-Ib	1.6732469435103914	1	PADLOC	1	FALSE	0.7426503789609546
septu_type_I	aph(3')-Ia	1.6732469435103914	1	PADLOC	1	FALSE	0.7426503789609546
septu_type_I	aph(6)-Id	1.6732469435103914	1	PADLOC	1	FALSE	0.7426503789609546
septu_type_I	blaADC-25	0	0.4725274725274724	PADLOC	0.78125	FALSE	-10
septu_type_I	sul2	1.6732469435103914	1	PADLOC	1	FALSE	0.7426503789609546
septu_type_I	ARR-2	0	0.5	PADLOC	0.78125	FALSE	-10
septu_type_I	CmlA7	0	0.5	PADLOC	0.78125	FALSE	-10
septu_type_I	aac(6')-Ib3	0	0.5	PADLOC	0.78125	FALSE	-10
septu_type_I	aadA1	0	0.5	PADLOC	0.78125	FALSE	-10
septu_type_I	aadA2b	0	0.5	PADLOC	0.78125	FALSE	-10
PDC-S04	aph(3'')-Ib	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
PDC-S04	aph(3')-Ia	0	1	PADLOC	1	FALSE	-10
PDC-S04	aph(6)-Id	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
PDC-S04	blaADC-25	0	1	PADLOC	1	FALSE	-10
PDC-S04	sul2	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
PDC-S04	ARR-2	0	1	PADLOC	1	FALSE	-10
PDC-S04	CmlA7	0	1	PADLOC	1	FALSE	-10
PDC-S04	aac(6')-Ib3	0	1	PADLOC	1	FALSE	-10
PDC-S04	aadA1	0	1	PADLOC	1	FALSE	-10
PDC-S04	aadA2b	Inf	0.12500000000000006	PADLOC	0.78125	FALSE	10
RM_type_I	aph(3'')-Ib	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
RM_type_I	aph(3')-Ia	0	1	PADLOC	1	FALSE	-10
RM_type_I	aph(6)-Id	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
RM_type_I	blaADC-25	0	1	PADLOC	1	FALSE	-10
RM_type_I	sul2	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
RM_type_I	ARR-2	0	1	PADLOC	1	FALSE	-10
RM_type_I	CmlA7	0	1	PADLOC	1	FALSE	-10
RM_type_I	aac(6')-Ib3	0	1	PADLOC	1	FALSE	-10
RM_type_I	aadA1	0	1	PADLOC	1	FALSE	-10
RM_type_I	aadA2b	Inf	0.12500000000000006	PADLOC	0.78125	FALSE	10
RosmerTA	aph(3'')-Ib	Inf	0.06593406593406591	PADLOC	0.78125	FALSE	10
RosmerTA	aph(3')-Ia	2.4494967215827663	1	PADLOC	1	FALSE	1.2924853607126399
RosmerTA	aph(6)-Id	Inf	0.06593406593406591	PADLOC	0.78125	FALSE	10
RosmerTA	blaADC-25	Inf	0.06593406593406591	PADLOC	0.78125	FALSE	10
RosmerTA	sul2	Inf	0.06593406593406591	PADLOC	0.78125	FALSE	10
RosmerTA	ARR-2	Inf	0.12500000000000006	PADLOC	0.78125	FALSE	10
RosmerTA	CmlA7	Inf	0.12500000000000006	PADLOC	0.78125	FALSE	10
RosmerTA	aac(6')-Ib3	Inf	0.12500000000000006	PADLOC	0.78125	FALSE	10
RosmerTA	aadA1	Inf	0.12500000000000006	PADLOC	0.78125	FALSE	10
RosmerTA	aadA2b	0	1	PADLOC	1	FALSE	-10
