type	count	tool
SoFic	8	PADLOC
DMS_other	6	PADLOC
PD-T4-6	6	PADLOC
PDC-S08	6	PADLOC
PDC-S21	6	PADLOC
PDC-S02	5	PADLOC
septu_type_I	5	PADLOC
PDC-S04	4	PADLOC
RM_type_I	4	PADLOC
RosmerTA	4	PADLOC
PDC-S12	3	PADLOC
RM_type_II	3	PADLOC
gabija	3	PADLOC
Lamassu_Family	2	PADLOC
Mokosh_TypeII	2	PADLOC
PD-T7-1or5	2	PADLOC
PD-T7-3	2	PADLOC
PDC-S15	2	PADLOC
PDC-S16	2	PADLOC
PDC-S24	2	PADLOC
PDC-S63	2	PADLOC
PrrC	2	PADLOC
RM_type_IIG	2	PADLOC
RM_type_IV	2	PADLOC
cbass_type_II	2	PADLOC
retron_II-A	2	PADLOC
shedu	2	PADLOC
wadjet_type_I	2	PADLOC
AbiD	1	PADLOC
AbiL	1	PADLOC
Azaca	1	PADLOC
BstA	1	PADLOC
DRT_class_I	1	PADLOC
DRT_class_III	1	PADLOC
HEC-02	1	PADLOC
Old	1	PADLOC
Olokun	1	PADLOC
PD-Lambda-2	1	PADLOC
PDC-M01	1	PADLOC
PDC-M04	1	PADLOC
PDC-M05	1	PADLOC
PDC-M06	1	PADLOC
PDC-M09	1	PADLOC
PDC-M21	1	PADLOC
PDC-M24	1	PADLOC
PDC-M25	1	PADLOC
PDC-M27	1	PADLOC
PDC-S06	1	PADLOC
PDC-S07	1	PADLOC
PDC-S26	1	PADLOC
PDC-S29	1	PADLOC
PDC-S31	1	PADLOC
PDC-S32	1	PADLOC
PDC-S42	1	PADLOC
PDC-S59	1	PADLOC
PDC-S66	1	PADLOC
PT_PbeABCD	1	PADLOC
PT_SspABCD	1	PADLOC
PsyrTA	1	PADLOC
RM_type_III	1	PADLOC
SEFIR	1	PADLOC
Shango	1	PADLOC
VSPR	1	PADLOC
cas_type_I-F1	1	PADLOC
cas_type_other	1	PADLOC
cbass_type_I	1	PADLOC
darTG	1	PADLOC
hachiman_type_I	1	PADLOC
hhe	1	PADLOC
ietAS	1	PADLOC
mza	1	PADLOC
ppl	1	PADLOC
qatABCD	1	PADLOC
qatABCD_other	1	PADLOC
retron_IV	1	PADLOC
thoeris_type_I	1	PADLOC
zorya_other	1	PADLOC
