Genome_ID	num_systems
NZ_CP019041.1	9
NZ_CP027658.1	4
NZ_CP048014.1	4
NZ_CP070518.1	6
NZ_CP078045.1	13
NZ_CP091358.1	5
NZ_CP139270.1	6
