Genome_ID	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP038023.1	NZ_CP038023.1_BREX_I_2	BREX	BREX_I	Defense	NZ_CP038023.1_1	NZ_CP038023.1_82	NZ_CP038023.1_1,NZ_CP038023.1_3,NZ_CP038023.1_4,NZ_CP038023.1_5,NZ_CP038023.1_6,NZ_CP038023.1_82	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP038024.1	NZ_CP038024.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP038024.1_15	NZ_CP038024.1_15	NZ_CP038024.1_15	1	AbiJ__AbiJ
NZ_CP038024.1	NZ_CP038024.1_RM_Type_IIG_2	RM	RM_Type_IIG	Defense	NZ_CP038024.1_71	NZ_CP038024.1_71	NZ_CP038024.1_71	1	RM_Type_IIG__Type_IIG
NZ_CP098792.1	NZ_CP098792.1_RosmerTA_1	RosmerTA	RosmerTA	Defense	NZ_CP098792.1_29	NZ_CP098792.1_30	NZ_CP098792.1_29,NZ_CP098792.1_30	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP098792.1	NZ_CP098792.1_BREX_I_3	BREX	BREX_I	Defense	NZ_CP098792.1_61	NZ_CP098792.1_66	NZ_CP098792.1_61,NZ_CP098792.1_62,NZ_CP098792.1_63,NZ_CP098792.1_64,NZ_CP098792.1_65,NZ_CP098792.1_66	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP098792.1	NZ_CP098792.1_CBASS_III_6	CBASS	CBASS_III	Defense	NZ_CP098792.1_68	NZ_CP098792.1_71	NZ_CP098792.1_68,NZ_CP098792.1_69,NZ_CP098792.1_70,NZ_CP098792.1_71	4	CBASS__Cyclase_II,CBASS__Endonuc_small,CBASS__TRIP13,CBASS__bacHORMA_1
NZ_CP078019.1	NZ_CP078019.1_CBASS_II_4	CBASS	CBASS_II	Defense	NZ_CP078019.1_1	NZ_CP078019.1_352	NZ_CP078019.1_1,NZ_CP078019.1_2,NZ_CP078019.1_3,NZ_CP078019.1_352	4	CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Jab,CBASS__Sensing_SAVED
NZ_CP078019.1	NZ_CP078019.1_Mokosh_Type_I_A_2	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP078019.1_123	NZ_CP078019.1_124	NZ_CP078019.1_123,NZ_CP078019.1_124	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP078019.1	NZ_CP078019.1_RM_Type_III_5	RM	RM_Type_III	Defense	NZ_CP078019.1_271	NZ_CP078019.1_272	NZ_CP078019.1_271,NZ_CP078019.1_272	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
NZ_CP050386.1	NZ_CP050386.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP050386.1_49	NZ_CP050386.1_49	NZ_CP050386.1_49	1	PD-T4-5__PD-T4-5
NZ_CP050386.1	NZ_CP050386.1_BREX_I_5	BREX	BREX_I	Defense	NZ_CP050386.1_86	NZ_CP050386.1_91	NZ_CP050386.1_86,NZ_CP050386.1_87,NZ_CP050386.1_88,NZ_CP050386.1_89,NZ_CP050386.1_90,NZ_CP050386.1_91	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP050386.1	NZ_CP050386.1_Mokosh_Type_I_A_3	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP050386.1_96	NZ_CP050386.1_97	NZ_CP050386.1_96,NZ_CP050386.1_97	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP022285.1	NZ_CP022285.1_PD-T4-5_1	PD-T4-5	PD-T4-5	Defense	NZ_CP022285.1_9	NZ_CP022285.1_9	NZ_CP022285.1_9	1	PD-T4-5__PD-T4-5
NZ_CP022285.1	NZ_CP022285.1_Mokosh_Type_I_A_3	Mokosh	Mokosh_Type_I_A	Defense	NZ_CP022285.1_123	NZ_CP022285.1_126	NZ_CP022285.1_123,NZ_CP022285.1_126	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
NZ_CP022285.1	NZ_CP022285.1_BREX_I_5	BREX	BREX_I	Defense	NZ_CP022285.1_130	NZ_CP022285.1_135	NZ_CP022285.1_130,NZ_CP022285.1_131,NZ_CP022285.1_132,NZ_CP022285.1_133,NZ_CP022285.1_134,NZ_CP022285.1_135	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
