Genome_ID	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	qcovs	qcovhsp
NZ_CP019041.1	BAC0001|abeM|tr|Q5FAM9|Q5FAM9_ACIBA|Multidrug|efflux|pump|AbeM|OS=Acinetobacter|baumannii|GN=abeM|PE=4|SV=2	NZ_CP019041.1	80.717	446	86	0	3	448	3202640	3203977	0.0	695.0	448	99	99
NZ_CP019041.1	BAC0001|abeM|tr|Q5FAM9|Q5FAM9_ACIBA|Multidrug|efflux|pump|AbeM|OS=Acinetobacter|baumannii|GN=abeM|PE=4|SV=2	NZ_CP019041.1	24.324	444	303	9	8	430	412746	414041	1.02e-27	114.0	448	99	94
NZ_CP019041.1	BAC0001|abeM|tr|Q5FAM9|Q5FAM9_ACIBA|Multidrug|efflux|pump|AbeM|OS=Acinetobacter|baumannii|GN=abeM|PE=4|SV=2	NZ_CP019041.1	24.249	433	305	11	12	432	388893	387628	3.35e-15	75.5	448	99	94
NZ_CP019041.1	BAC0002|abeS|tr|Q2FD83|Q2FD83_ACIBA|QacEdelta1|SMR|family|efflux|pump|OS=Acinetobacter|baumannii|GN=qacEdelta1|PE=3|SV=1	NZ_CP019041.1	59.434	106	43	0	2	107	2516885	2516568	2.35e-28	104.0	109	97	97
NZ_CP019041.1	BAC0003|acn|tr|O53166|O53166_MYCTU|Aconitate|hydratase|OS=Mycobacterium|tuberculosis|H37Rv|GN=RVBD_1475c|PE=4|SV=1	NZ_CP019041.1	55.285	946	380	8	6	942	868504	871239	0.0	1024.0	943	99	99
NZ_CP019041.1	BAC0003|acn|tr|O53166|O53166_MYCTU|Aconitate|hydratase|OS=Mycobacterium|tuberculosis|H37Rv|GN=RVBD_1475c|PE=4|SV=1	NZ_CP019041.1	41.967	915	442	12	36	941	171122	168618	0.0	700.0	943	99	96
NZ_CP019041.1	BAC0004|acr3|tr|B5LX01|B5LX01_CAMJU|Acr3|OS=Campylobacter|jejuni|GN=acr3|PE=4|SV=1	NZ_CP019041.1	52.548	314	147	1	2	315	838875	839810	3.94e-92	298.0	347	90	90
NZ_CP019041.1	BAC0005|acrA|sp|P0AE06|ACRA_ECOLI|Multidrug|efflux|pump|subunit|AcrA|OS=Escherichia|coli|(strain|K12)|GN=acrA|PE=1|SV=1	NZ_CP019041.1	47.644	382	193	3	1	376	2851450	2852592	6.139999999999999e-95	308.0	397	95	95
NZ_CP019041.1	BAC0006|acrB|sp|P31224|ACRB_ECOLI|Multidrug|efflux|pump|subunit|AcrB|OS=Escherichia|coli|(strain|K12)|GN=acrB|PE=1|SV=1	NZ_CP019041.1	58.749	1023	390	10	1	1001	2852713	2855751	0.0	1148.0	1049	95	95
NZ_CP019041.1	BAC0006|acrB|sp|P31224|ACRB_ECOLI|Multidrug|efflux|pump|subunit|AcrB|OS=Escherichia|coli|(strain|K12)|GN=acrB|PE=1|SV=1	NZ_CP019041.1	49.701	1002	485	8	1	997	2769424	2766461	0.0	936.0	1049	95	95
NZ_CP019041.1	BAC0006|acrB|sp|P31224|ACRB_ECOLI|Multidrug|efflux|pump|subunit|AcrB|OS=Escherichia|coli|(strain|K12)|GN=acrB|PE=1|SV=1	NZ_CP019041.1	25.424	1003	669	25	30	994	2352692	2355577	8.1e-60	222.0	1049	95	92
NZ_CP019041.1	BAC0006|acrB|sp|P31224|ACRB_ECOLI|Multidrug|efflux|pump|subunit|AcrB|OS=Escherichia|coli|(strain|K12)|GN=acrB|PE=1|SV=1	NZ_CP019041.1	25.05	1010	678	30	29	1001	557007	559910	5.52e-50	191.0	1049	95	93
NZ_CP019041.1	BAC0006|acrB|sp|P31224|ACRB_ECOLI|Multidrug|efflux|pump|subunit|AcrB|OS=Escherichia|coli|(strain|K12)|GN=acrB|PE=1|SV=1	NZ_CP019041.1	23.16	1019	682	28	29	1000	887230	890124	1.51e-41	164.0	1049	95	93
NZ_CP019041.1	BAC0007|acrC|tr|Q1LMP2|Q1LMP2_RALME|Cation/multidrug|efflux|system|outer|membrane|porin|OS=Ralstonia|metallidurans|(strain|CH34|/|ATCC|43123|/|DSM|2839)|GN=acrC|PE=4|SV=1	NZ_CP019041.1	32.836	469	297	7	1	462	2855910	2857283	5.41e-59	207.0	486	95	95
NZ_CP019041.1	BAC0007|acrC|tr|Q1LMP2|Q1LMP2_RALME|Cation/multidrug|efflux|system|outer|membrane|porin|OS=Ralstonia|metallidurans|(strain|CH34|/|ATCC|43123|/|DSM|2839)|GN=acrC|PE=4|SV=1	NZ_CP019041.1	28.017	464	307	9	9	462	820175	818835	1.95e-39	150.0	486	95	93
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	56.667	1050	440	5	1	1035	2852713	2855862	0.0	1190.0	1037	100	99
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	48.027	1039	528	5	1	1037	2769424	2766338	0.0	971.0	1037	100	100
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	27.324	1065	686	31	6	1026	2352620	2355682	1.6e-83	295.0	1037	100	98
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	24.174	1059	725	26	3	1023	556929	559985	3.08e-63	233.0	1037	100	98
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	24.953	1058	675	35	13	1011	887173	890166	8.050000000000001e-56	209.0	1037	100	96
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	22.773	1089	730	27	3	1030	1242130	1245246	1.12e-50	193.0	1037	100	99
NZ_CP019041.1	BAC0563|acrD|tr|Q8ZN77|Q8ZN77_SALTY|RND|family|aminoglycoside/multidrug|efflux|pump|OS=Salmonella|typhimurium|(strain|LT2|/|SGSC1412|/|ATCC|700720)|GN=acrD|PE=4|SV=1	NZ_CP019041.1	23.251	1058	712	29	17	1023	335565	338591	2.84e-48	185.0	1037	100	97
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	57.429	1050	432	5	1	1035	2852713	2855862	0.0	1189.0	1037	99	99
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	47.83	1037	529	5	1	1035	2769424	2766344	0.0	947.0	1037	99	99
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	27.187	1063	690	27	6	1026	2352620	2355682	3.45e-84	297.0	1037	99	98
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	25.047	1062	712	31	3	1023	556929	559985	2.92e-63	233.0	1037	99	98
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	24.141	1048	696	29	13	1011	887173	890166	2.6899999999999998e-55	207.0	1037	99	96
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	22.706	1079	740	25	3	1029	1242130	1245240	5.3399999999999994e-52	197.0	1037	99	99
NZ_CP019041.1	BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI|Probable|aminoglycoside|efflux|pump|OS=Escherichia|coli|(strain|K12)|GN=acrD|PE=3|SV=3	NZ_CP019041.1	22.633	1056	721	29	17	1023	335565	338591	2.18e-44	173.0	1037	99	97
NZ_CP019041.1	BAC0009|acrE/envC|sp|P24180|ACRE_ECOLI|Acriflavine|resistance|protein|E|OS=Escherichia|coli|(strain|K12)|GN=acrE|PE=2|SV=2	NZ_CP019041.1	46.277	376	195	3	10	379	2851480	2852604	2.24e-93	303.0	385	96	96
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	57.89	1052	418	7	1	1033	2852713	2855850	0.0	1139.0	1034	99	99
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	48.839	1034	519	6	1	1033	2769424	2766350	0.0	917.0	1034	99	99
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	24.806	1032	688	23	30	1018	2352692	2355652	2.01e-58	218.0	1034	99	96
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	22.64	1038	711	24	31	1018	1242214	1245201	1.5100000000000001e-43	170.0	1034	99	96
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	24.855	1034	673	34	29	1013	887230	890166	9.290000000000001e-43	167.0	1034	99	95
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	22.652	1033	743	26	3	1009	556929	559937	2.29e-40	160.0	1034	99	97
NZ_CP019041.1	BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI|Acriflavine|resistance|protein|F|OS=Escherichia|coli|(strain|K12)|GN=acrF|PE=2|SV=2	NZ_CP019041.1	23.823	1041	659	33	45	1018	335649	338570	2.04e-38	153.0	1034	99	94
NZ_CP019041.1	BAC0012|actP|sp|Q9X5X3|ATCU_SINMW|Copper-transporting|P-type|ATPase|OS=Sinorhizobium|medicae|(strain|WSM419)|GN=actP|PE=1|SV=1	NZ_CP019041.1	62.165	822	298	5	11	826	1320572	1318128	0.0	959.0	827	99	99
NZ_CP019041.1	BAC0012|actP|sp|Q9X5X3|ATCU_SINMW|Copper-transporting|P-type|ATPase|OS=Sinorhizobium|medicae|(strain|WSM419)|GN=actP|PE=1|SV=1	NZ_CP019041.1	47.243	671	340	3	159	823	1231171	1233159	2.83e-178	567.0	827	99	80
NZ_CP019041.1	BAC0568|actP|sp|Q9X5V3|ATCU_RHILV|Copper-transporting|P-type|ATPase|OS=Rhizobium|leguminosarum|bv.|viciae|GN=actP|PE=1|SV=1	NZ_CP019041.1	53.072	765	330	7	62	810	1230820	1233075	0.0	750.0	841	89	89
NZ_CP019041.1	BAC0570|actP|tr|D5AU53|D5AU53_RHOCB|Cation/acetate|symporter|ActP-1|OS=Rhodobacter|capsulatus|(strain|ATCC|BAA-309|/|NBRC|16581|/|SB1003)|GN=actP1|PE=3|SV=1	NZ_CP019041.1	59.116	543	205	4	26	551	62753	61125	3.7499999999999996e-180	560.0	551	95	95
NZ_CP019041.1	BAC0564|actP/yjcG|sp|P32705|ACTP_ECOLI|Cation/acetate|symporter|ActP|OS=Escherichia|coli|(strain|K12)|GN=actP|PE=1|SV=1	NZ_CP019041.1	66.851	543	163	4	24	549	62753	61125	0.0	613.0	549	96	96
NZ_CP019041.1	BAC0564|actP/yjcG|sp|P32705|ACTP_ECOLI|Cation/acetate|symporter|ActP|OS=Escherichia|coli|(strain|K12)|GN=actP|PE=1|SV=1	NZ_CP019041.1	24.889	450	314	8	36	474	1818103	1816793	3.38e-17	82.4	549	96	80
NZ_CP019041.1	BAC0471|adeA|tr|Q93E20|Q93E20_ACIBA|AdeA|membrane|fusion|protein|OS=Acinetobacter|baumannii|GN=adeA|PE=4|SV=1	NZ_CP019041.1	42.09	354	197	3	19	365	2851519	2852577	1.27e-76	255.0	396	88	88
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	46.019	1030	534	7	1	1008	2852713	2855802	0.0	864.0	1035	97	97
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	39.882	1018	591	7	1	1007	2769424	2766401	0.0	716.0	1035	97	97
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	25.595	1051	701	25	2	1008	2352608	2355649	9.46e-64	234.0	1035	97	97
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	24.62	1052	690	32	3	1000	556929	559937	4.8e-62	229.0	1035	97	96
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	24.175	1030	688	31	23	1004	887212	890166	4.36e-58	216.0	1035	97	95
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	23.324	1029	720	23	23	1008	1242190	1245198	2.3800000000000002e-57	214.0	1035	97	95
NZ_CP019041.1	BAC0472|adeB|tr|Q93E19|Q93E19_ACIBA|AdeB|RND|protein|OS=Acinetobacter|baumannii|GN=adeB|PE=4|SV=1	NZ_CP019041.1	22.671	1041	702	29	23	1007	335583	338564	6.26e-36	145.0	1035	97	95
NZ_CP019041.1	BAC0473|adeC|tr|Q93E18|Q93E18_ACIBA|AdeC|outer|membrane|protein|OS=Acinetobacter|baumannii|GN=adeC|PE=4|SV=1	NZ_CP019041.1	68.696	460	142	1	5	462	2855907	2857286	0.0	682.0	465	98	98
NZ_CP019041.1	BAC0473|adeC|tr|Q93E18|Q93E18_ACIBA|AdeC|outer|membrane|protein|OS=Acinetobacter|baumannii|GN=adeC|PE=4|SV=1	NZ_CP019041.1	26.623	462	315	9	10	460	820184	818838	2.15e-36	140.0	465	98	97
NZ_CP019041.1	BAC0474|adeD|tr|Q67GM1|Q67GM1_ACIG3|AdeD|OS=Acinetobacter|sp.|4365|GN=adeD|PE=4|SV=1	NZ_CP019041.1	43.094	362	191	3	23	372	2851519	2852595	2.27e-87	285.0	374	94	94
NZ_CP019041.1	BAC0474|adeD|tr|Q67GM1|Q67GM1_ACIG3|AdeD|OS=Acinetobacter|sp.|4365|GN=adeD|PE=4|SV=1	NZ_CP019041.1	22.251	382	215	10	23	371	334462	335460	1.66e-08	53.5	374	94	93
NZ_CP019041.1	BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3|AdeE|OS=Acinetobacter|sp.|4365|GN=adeE|PE=4|SV=2	NZ_CP019041.1	57.624	1010	424	2	1	1009	2769427	2766407	0.0	1129.0	1036	97	97
NZ_CP019041.1	BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3|AdeE|OS=Acinetobacter|sp.|4365|GN=adeE|PE=4|SV=2	NZ_CP019041.1	51.798	1029	473	8	2	1009	2852713	2855793	0.0	991.0	1036	97	97
NZ_CP019041.1	BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3|AdeE|OS=Acinetobacter|sp.|4365|GN=adeE|PE=4|SV=2	NZ_CP019041.1	25.095	1048	709	25	2	1009	2352605	2355640	1.0899999999999999e-67	246.0	1036	97	97
NZ_CP019041.1	BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3|AdeE|OS=Acinetobacter|sp.|4365|GN=adeE|PE=4|SV=2	NZ_CP019041.1	24.347	1072	687	27	5	1007	1242133	1245183	1.57e-57	215.0	1036	97	97
NZ_CP019041.1	BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3|AdeE|OS=Acinetobacter|sp.|4365|GN=adeE|PE=4|SV=2	NZ_CP019041.1	24.248	1031	721	23	5	1004	556932	559937	9.4e-53	199.0	1036	97	97
